,0
259,13.454
260,40.614
261,100.0
262,60.0
263,60.0
264,100.0
265,100.0
266,20.0
267,20.0
268,100.0
269,39.78
270,13.302
271,39.354
272,60.0
273,39.792
274,20.0
275,20.0
276,100.0
277,100.0
278,60.0
279,100.0
280,100.0
281,20.0
282,20.0
283,66.81
284,71.62
285,41.646
286,20.0
287,40.23
288,67.33
289,100.0
290,100.0
291,68.03
292,100.0
293,38.676
294,38.742
295,40.386
296,60.0
297,60.0
298,100.0
299,100.0
300,40.986
301,20.0
302,67.8
303,60.0
304,13.03
305,35.16
306,60.0
307,100.0
308,100.0
309,100.0
310,7.146
311,20.0
312,100.0
313,60.0
314,40.164
315,38.256
316,100.0
317,100.0
318,20.0
319,6.95
320,38.7
321,13.334
322,40.566
323,13.47
324,60.0
325,20.0
326,63.51
327,100.0
328,20.0
329,60.0
330,20.0
331,20.0
332,12.99
333,13.862
334,20.0
335,39.138
336,39.78
337,67.93
338,20.0
339,20.0
340,100.0
341,20.0
342,13.39
343,20.0
344,20.0
345,13.582
346,20.0
347,20.0
348,20.0
349,60.0
350,20.0
351,66.3
352,20.0
353,13.504
354,12.562
355,38.796
356,68.91
357,20.0
358,63.5
359,60.0
360,20.0
361,39.558
362,40.824
363,20.0
364,20.0
365,20.0
366,20.0
367,41.346
368,20.0
369,41.91
370,20.0
371,38.094
372,12.576
373,20.0
374,20.0
375,20.0
376,20.0
377,20.0
378,13.002
379,20.0
380,60.0
381,20.0
382,13.222
383,60.0
384,13.788
385,40.284
386,20.0
387,20.0
388,13.664
389,100.0
390,20.0
391,20.0
392,13.542
393,20.0
394,13.03
395,20.598
396,66.67
397,40.59
398,20.0
399,20.0
400,64.55
401,20.0
402,20.0
403,12.592
404,20.0
405,71.41
406,20.0
407,20.0
408,14.23
409,20.0
410,100.0
411,20.0
412,13.55
413,20.0
414,13.8
415,20.0
416,20.0
417,100.0
418,100.0
419,20.0
420,38.574
421,20.0
422,20.0
423,20.0
424,13.442
425,40.428
426,40.56
427,100.0
428,12.876
429,13.474
430,20.0
431,7.158
432,20.0
433,20.0
434,20.0
435,20.0
436,20.0
437,13.282
438,60.0
439,20.0
440,20.0
441,100.0
442,20.0
443,20.0
444,41.052
445,100.0
446,12.708
447,13.126
448,60.0
449,20.0
450,20.0
451,20.0
452,20.0
453,20.0
454,20.0
455,20.0
456,12.772
457,20.0
458,38.784
459,13.176
460,20.0
461,20.0
462,60.0
463,20.0
464,13.914
465,20.0
466,20.0
467,20.0
468,20.0
469,20.0
470,20.0
471,20.0
472,20.0
473,20.0
474,100.0
475,20.0
476,40.104
477,100.0
478,20.0
479,40.212
480,13.694
481,13.552
482,12.708
483,20.0
484,20.0
485,20.0
486,60.0
487,39.846
488,60.0
489,20.0
490,20.0
491,20.0
492,7.442
493,100.0
494,20.0
495,20.0
496,20.0
497,100.0
498,20.0
499,100.0
500,100.0
501,38.874
502,20.0
503,13.548
504,20.61
505,20.0
506,40.728
507,20.0
508,39.342
509,100.0
510,20.0
511,20.0
512,20.0
513,60.0
514,39.672
515,20.0
516,20.0
517,66.82
518,20.0
519,20.0
520,14.016
521,20.0
522,20.0
523,20.0
524,67.41
525,20.0
526,20.0
527,100.0
528,60.0
529,20.0
530,12.674
531,20.0
